"on_time_a","planned_dur_b","p85_pct_b","range7525_b","planned_layover_sec","ampeak_a","pmpeak_a","route_pair"
0,1900,"0.971985","241.93","0.00000000000000000000",0,1,"1_0_1_0"
0,1900,"0.971985","241.93","0.00000000000000000000",0,1,"1_0_1_1"
0,1900,"0.971985","241.93","431.2500000000000000",0,1,"1_1_1_0"
0,1900,"0.971985","241.93","0.00000000000000000000",0,1,"1_1_1_1"
0,1900,"0.971985","241.93","300.0000000000000000",0,1,"1_1_13_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"1_1_14_0"
0,1900,"0.971985","241.93","660.0000000000000000",0,1,"1_1_15_0"
0,1900,"0.971985","241.93","510.1796407185628743",0,1,"1_1_21_0"
0,1900,"0.971985","241.93","500.0000000000000000",0,1,"1_1_25_0"
0,1900,"0.971985","241.93","461.3793103448275862",0,1,"1_1_29_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"1_1_4_1"
0,1900,"0.971985","241.93","376.0000000000000000",0,1,"1_1_410_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"1_1_428_0"
0,1900,"0.971985","241.93","509.6296296296296296",0,1,"1_1_54_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"1_1_6_0"
0,1900,"0.971985","241.93","449.2500000000000000",0,1,"1_1_71_0"
0,1900,"0.971985","241.93","601.9354838709677419",0,1,"1_1_73_0"
0,1900,"0.971985","241.93","479.6273291925465839",0,1,"1_1_8_0"
0,1900,"0.971985","241.93","332.4324324324324324",0,1,"1_1_83_0"
0,1900,"0.971985","241.93","540.0000000000000000",0,1,"1_1_84_0"
0,1900,"0.971985","241.93","590.1639344262295082",0,1,"1_1_98_0"
0,1900,"0.971985","241.93","360.0000000000000000",0,1,"1_1_99_0"
0,1900,"0.971985","241.93","0.00000000000000000000",0,1,"120_0_120_0"
0,1900,"0.971985","241.93","300.0000000000000000",0,1,"120_0_120_1"
0,1900,"0.971985","241.93","540.0000000000000000",0,1,"120_1_20_0"
0,1900,"0.971985","241.93","480.0000000000000000",0,1,"120_1_410_0"
0,1900,"0.971985","241.93","540.0000000000000000",0,1,"120_1_417_0"
0,1900,"0.971985","241.93","480.0000000000000000",0,1,"120_1_421_0"
0,1900,"0.971985","241.93","420.0000000000000000",0,1,"120_1_6_0"
0,1900,"0.971985","241.93","540.0000000000000000",0,1,"120_1_78_0"
0,1900,"0.971985","241.93","0.00000000000000000000",0,1,"123_0_123_0"
0,1900,"0.971985","241.93","320.4849660523763337",0,1,"123_0_123_1"
0,1900,"0.971985","241.93","240.0000000000000000",0,1,"123_0_29_1"
