feature,importance_gain,importance_split
route_pair,68196.72636950016,2649
on_time_a,57429.48650956154,142
p85_pct_b,22225.15284049511,3310
range7525_b,14496.596049666405,2833
planned_layover_sec,11380.514141201973,1276
planned_dur_b,10343.566478550434,2053
pmpeak_a,9671.195522665977,314
ampeak_a,1192.4096108675003,275
