"on_time_a","planned_layover_sec","planned_dur_b","avg_var_b","ampeak_a","pmpeak_a","route_pair"
0,300,1900,-230,0,1,"1_0_1_0"
0,300,1900,-230,0,1,"1_0_1_1"
0,300,1900,-230,0,1,"1_1_1_0"
0,300,1900,-230,0,1,"1_1_1_1"
0,300,1900,-230,0,1,"1_1_13_0"
0,300,1900,-230,0,1,"1_1_14_0"
0,300,1900,-230,0,1,"1_1_15_0"
0,300,1900,-230,0,1,"1_1_21_0"
0,300,1900,-230,0,1,"1_1_25_0"
0,300,1900,-230,0,1,"1_1_29_0"
0,300,1900,-230,0,1,"1_1_4_1"
0,300,1900,-230,0,1,"1_1_410_0"
0,300,1900,-230,0,1,"1_1_428_0"
0,300,1900,-230,0,1,"1_1_54_0"
0,300,1900,-230,0,1,"1_1_6_0"
0,300,1900,-230,0,1,"1_1_71_0"
0,300,1900,-230,0,1,"1_1_73_0"
0,300,1900,-230,0,1,"1_1_8_0"
0,300,1900,-230,0,1,"1_1_83_0"
0,300,1900,-230,0,1,"1_1_84_0"
0,300,1900,-230,0,1,"1_1_98_0"
0,300,1900,-230,0,1,"1_1_99_0"
0,300,1900,-230,0,1,"120_0_120_0"
0,300,1900,-230,0,1,"120_0_120_1"
0,300,1900,-230,0,1,"120_1_20_0"
0,300,1900,-230,0,1,"120_1_410_0"
0,300,1900,-230,0,1,"120_1_417_0"
0,300,1900,-230,0,1,"120_1_421_0"
0,300,1900,-230,0,1,"120_1_6_0"
0,300,1900,-230,0,1,"120_1_78_0"
0,300,1900,-230,0,1,"123_0_123_0"
0,300,1900,-230,0,1,"123_0_123_1"
0,300,1900,-230,0,1,"123_0_29_1"
0,300,1900,-230,0,1,"123_1_120_0"
0,300,1900,-230,0,1,"123_1_123_0"
0,300,1900,-230,0,1,"123_1_123_1"
0,300,1900,-230,0,1,"123_1_13_0"
0,300,1900,-230,0,1,"123_1_15_0"
0,300,1900,-230,0,1,"123_1_16_0"
0,300,1900,-230,0,1,"123_1_161_0"
0,300,1900,-230,0,1,"123_1_19_0"
0,300,1900,-230,0,1,"123_1_20_0"
0,300,1900,-230,0,1,"123_1_21_0"
0,300,1900,-230,0,1,"123_1_3_0"
0,300,1900,-230,0,1,"123_1_4_1"
0,300,1900,-230,0,1,"123_1_417_0"
0,300,1900,-230,0,1,"123_1_54_0"
0,300,1900,-230,0,1,"123_1_71_0"
0,300,1900,-230,0,1,"123_1_74_0"
0,300,1900,-230,0,1,"123_1_75_0"
0,300,1900,-230,0,1,"123_1_76_0"
0,300,1900,-230,0,1,"123_1_81_0"
0,300,1900,-230,0,1,"123_1_82_0"
0,300,1900,-230,0,1,"125_0_125_0"
0,300,1900,-230,0,1,"125_1_120_0"
0,300,1900,-230,0,1,"125_1_125_1"
0,300,1900,-230,0,1,"125_1_16_0"
0,300,1900,-230,0,1,"125_1_417_0"
0,300,1900,-230,0,1,"125_1_428_0"
0,300,1900,-230,0,1,"125_1_73_0"
0,300,1900,-230,0,1,"125_1_84_0"
0,300,1900,-230,0,1,"125_1_99_0"
0,300,1900,-230,0,1,"128_0_128_1"
0,300,1900,-230,0,1,"128_0_199_1"
0,300,1900,-230,0,1,"128_1_21_0"
0,300,1900,-230,0,1,"128_1_83_0"
0,300,1900,-230,0,1,"128_1_84_0"
0,300,1900,-230,0,1,"13_0_13_0"
0,300,1900,-230,0,1,"13_0_13_1"
0,300,1900,-230,0,1,"13_0_15_1"
0,300,1900,-230,0,1,"13_0_30_1"
0,300,1900,-230,0,1,"13_0_37_0"
0,300,1900,-230,0,1,"13_0_42_0"
0,300,1900,-230,0,1,"13_0_43_1"
0,300,1900,-230,0,1,"13_0_47_0"
0,300,1900,-230,0,1,"13_0_5_0"
0,300,1900,-230,0,1,"13_1_1_0"
0,300,1900,-230,0,1,"13_1_123_0"
0,300,1900,-230,0,1,"13_1_125_0"
0,300,1900,-230,0,1,"13_1_13_0"
0,300,1900,-230,0,1,"13_1_13_1"
0,300,1900,-230,0,1,"13_1_15_0"
0,300,1900,-230,0,1,"13_1_16_0"
0,300,1900,-230,0,1,"13_1_25_0"
0,300,1900,-230,0,1,"13_1_28_0"
0,300,1900,-230,0,1,"13_1_29_0"
0,300,1900,-230,0,1,"13_1_4_1"
0,300,1900,-230,0,1,"13_1_410_0"
0,300,1900,-230,0,1,"13_1_421_0"
0,300,1900,-230,0,1,"13_1_6_0"
0,300,1900,-230,0,1,"13_1_73_0"
0,300,1900,-230,0,1,"13_1_74_0"
0,300,1900,-230,0,1,"13_1_8_0"
0,300,1900,-230,0,1,"132_0_132_0"
0,300,1900,-230,0,1,"132_0_132_1"
0,300,1900,-230,0,1,"132_0_88_1"
0,300,1900,-230,0,1,"132_1_132_0"
0,300,1900,-230,0,1,"132_1_132_1"
0,300,1900,-230,0,1,"132_1_192_0"
0,300,1900,-230,0,1,"132_1_32_0"
0,300,1900,-230,0,1,"132_1_38_0"
0,300,1900,-230,0,1,"132_1_4_0"
0,300,1900,-230,0,1,"132_1_47_1"
0,300,1900,-230,0,1,"14_0_132_0"
0,300,1900,-230,0,1,"14_0_14_0"
0,300,1900,-230,0,1,"14_0_14_1"
0,300,1900,-230,0,1,"14_0_32_0"
0,300,1900,-230,0,1,"14_0_4_0"
0,300,1900,-230,0,1,"14_1_1_0"
0,300,1900,-230,0,1,"14_1_123_0"
0,300,1900,-230,0,1,"14_1_13_0"
0,300,1900,-230,0,1,"14_1_14_0"
